City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
114,Cabo San Lucas,MX,22.8909,-109.9124,72.52,70,49,3.33,scattered clouds
115,Vanavara,RU,60.34,102.2797,-2.04,98,100,3.83,overcast clouds
116,San Quintin,MX,30.4833,-115.95,61.43,35,35,1.74,scattered clouds
117,Celestun,MX,20.8667,-90.4,69.76,63,100,19.28,overcast clouds
118,Marau,BR,-28.4492,-52.2,76.91,50,68,6.26,broken clouds
119,Dunedin,NZ,-45.8742,170.5036,58.8,85,100,2.75,overcast clouds
120,Olafsvik,IS,64.8945,-23.7142,35.89,84,97,21.45,overcast clouds
121,Albany,US,42.6001,-73.9662,12.81,80,100,1.99,light snow
122,Muisne,EC,0.6,-80.0333,80.71,85,100,3.94,moderate rain
123,Half Moon Bay,US,37.4636,-122.4286,53.62,82,0,0.0,mist
124,Tiksi,RU,71.6872,128.8694,-9.13,100,40,3.22,scattered clouds
125,Cabadiangan,PH,9.7531,122.4739,77.54,87,88,2.73,overcast clouds
126,Emerald,AU,-23.5333,148.1667,77.14,65,28,10.36,scattered clouds
127,Port Moresby,PG,-9.4431,147.1797,78.22,94,75,5.75,broken clouds
128,Georgetown,MY,5.4112,100.3354,84.15,79,20,7.0,few clouds
129,Loiza,PR,18.4313,-65.8802,87.08,58,40,3.44,scattered clouds
130,Belmonte,BR,-15.8631,-38.8828,77.5,67,44,9.66,light rain
131,Talnakh,RU,69.4865,88.3972,-2.79,96,100,9.64,overcast clouds
132,Carire,BR,-3.9506,-40.4733,85.73,50,100,5.41,overcast clouds
133,Bambous Virieux,MU,-20.3428,57.7575,82.65,78,40,9.22,light rain
134,Provideniya,RU,64.3833,-173.3,1.51,91,8,4.56,clear sky
135,Maues,BR,-3.3836,-57.7186,77.63,95,99,3.31,overcast clouds
136,Sungaipenuh,ID,-2.0833,101.3833,65.5,98,99,1.81,moderate rain
137,Khani,GE,41.9563,42.9566,29.77,86,84,5.86,broken clouds
138,Port Hedland,AU,-20.3167,118.5667,84.25,74,40,10.36,scattered clouds
139,Mitsamiouli,KM,-11.3847,43.2844,84.49,74,20,4.61,moderate rain
140,Kulhudhuffushi,MV,6.6221,73.07,81.09,77,72,16.15,broken clouds
141,Raudeberg,NO,61.9875,5.1352,38.07,81,100,7.0,light snow
142,Pevek,RU,69.7008,170.3133,-13.95,98,100,3.42,overcast clouds
143,Asau,RO,46.4333,26.4,29.39,84,52,5.08,broken clouds
144,Noshiro,JP,40.2039,140.0242,27.86,68,100,21.97,overcast clouds
145,Russell,US,32.3502,-85.1999,34.88,41,0,13.8,clear sky
146,Kapaa,US,22.0752,-159.319,73.72,94,100,1.99,moderate rain
147,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,64,0,2.3,light snow
148,Clyde River,CA,70.4692,-68.5914,-5.57,77,100,4.61,light snow
149,Necochea,AR,-38.5473,-58.7368,88.03,37,2,11.54,clear sky
150,Rio Gallegos,AR,-51.6226,-69.2181,68.05,37,0,6.91,clear sky
151,Biga,TR,40.2281,27.2422,44.98,86,100,5.35,overcast clouds
152,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,2.3,mist
153,Ishigaki,JP,24.3448,124.1572,67.98,86,100,28.77,overcast clouds
154,Pitimbu,BR,-7.4706,-34.8086,84.79,65,82,9.35,broken clouds
155,Marzuq,YE,14.4,46.4667,66.51,54,100,5.19,overcast clouds
156,Castro,BR,-24.7911,-50.0119,59.95,99,100,5.57,overcast clouds
157,Haines Junction,CA,60.7522,-137.5108,13.95,67,100,10.36,overcast clouds
158,Kourou,GF,5.1552,-52.6478,86.05,63,74,7.11,broken clouds
159,Victoria,HK,22.2855,114.1577,64.26,84,85,1.01,overcast clouds
160,Vila Velha,BR,-20.3297,-40.2925,89.55,67,20,11.99,few clouds
161,Kieta,PG,-6.2167,155.6333,79.32,84,100,5.48,moderate rain
