City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
81,Faanui,PF,80.02,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Bengkulu,ID,77.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Quatre Cocos,MU,82.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
85,Odweyne,SO,66.6,scattered clouds,9.4092,45.064,Eng Hiirey House
87,Lorengau,PG,80.55,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
88,Port Maria,JM,82.96,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
90,Araouane,ML,84.31,overcast clouds,18.9048,-3.5265,
93,Guatire,VE,80.2,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
98,Atambua,ID,74.66,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
99,Asasa,ET,62.01,broken clouds,7.1,39.2,abc
101,Altamira,BR,77.09,very heavy rain,-3.2033,-52.2064,Requinte Hotel
103,Sa Kaeo,TH,79.5,few clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
104,Pringsewu,ID,73.81,overcast clouds,-5.3582,104.9744,Urban Style by Front One
107,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
108,Sao Jose Da Coroa Grande,BR,84.02,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
109,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
110,Wewak,PG,78.67,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
111,Nelson Bay,AU,74.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
112,Mabaruma,GY,82.4,broken clouds,8.2,-59.7833,Monty Brooms Guest House
113,Meulaboh,ID,78.4,light rain,4.1363,96.1285,Kost Pria
114,Cabo San Lucas,MX,72.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
116,San Quintin,MX,61.43,scattered clouds,30.4833,-115.95,Don Eddie's Landing
117,Celestun,MX,69.76,overcast clouds,20.8667,-90.4,Posada Lilia
118,Marau,BR,76.91,broken clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
122,Muisne,EC,80.71,moderate rain,0.6,-80.0333,Quinta Samay
